# C# Generated Hash Values for ChdDictionary Compatibility Testing
# Format: Key|HashValue

|2166136261
1032.4|966727248
111.411|842019063
1152.3|285282149
1223.2|387454502
161.42|1669813843
343.31|510865656
400a|1015739484
613.522|3707868725
861.53|225984033
892|2557292794
a|1699757604
ab|1740614250
C1053.14|430216722
C708.21|1991505290
C939|3261477113
C982|4061982947
H123.4|3175108452
H132.6s|104338993
H152.7|307336740
longerstringforhashingtesting|61735282
lowercase|809876800
M201.2|2115974554
S263.3|3459074419
S271.5|2057721390
S272|780055957
SpecialChars-_.|61049792
test123|1531475831
UpperCASE|2880575326
VE|2850790297

